frequency,amplitude
624.02,0.000624
625.78,0.000362
627.54,0.000516
629.3,0.000429
631.05,0.00018
632.81,0.000322
634.57,0.000412
636.33,0.000656
638.09,0.000664
639.84,0.000202
641.6,0.000352
643.36,0.000455
645.12,0.000283
646.87,0.000388
648.63,0.000321
650.39,0.000505
652.15,0.000376
653.91,0.000228
655.66,0.000319
657.42,0.000251
659.18,0.000378
660.94,0.000596
662.7,0.000434
664.45,0.000515
666.21,0.00047
667.97,0.000556
669.73,0.000268
671.48,0.000312
673.24,0.0005
675,0.000125
676.76,0.000303
678.52,0.00033
680.27,0.000181
682.03,0.000133
683.79,0.000293
685.55,0.000375
687.3,0.000369
689.06,0.000603
690.82,0.000364
692.58,0.000365
694.34,0.00058
696.09,0.000532
697.85,0.000421
699.61,0.000331
701.37,0.000214
703.12,0.0003
704.88,0.000394
706.64,0.000444
708.4,0.00024
710.16,0.000258
711.91,0.000404
713.67,0.000209
715.43,0.000356
717.19,0.000422
718.95,0.000548
720.7,0.000376
722.46,0.000199
724.22,0.000081
725.98,0.000294
727.73,0.000145
729.49,0.000167
731.25,0.00059
733.01,0.000955
734.77,0.000612
736.52,0.000378
738.28,0.000306
740.04,0.000752
741.8,0.000684
743.55,0.000983
745.31,0.001043
747.07,0.00064
748.83,0.000417
750.59,0.000154
752.34,0.000379
754.1,0.00107
755.86,0.00092
757.62,0.000605
759.37,0.000396
761.13,0.000817
762.89,0.000104
764.65,0.000473
766.41,0.00056
768.16,0.000612
769.92,0.000644
771.68,0.000563
773.44,0.00022
775.2,0.000241
776.95,0.000229
778.71,0.000189
780.47,0.000429
782.23,0.001052
783.98,0.001044
785.74,0.000914
787.5,0.000629
789.26,0.00095
791.02,0.000875
792.77,0.000485
794.53,0.00076
796.29,0.001314
798.05,0.00164
799.8,0.00096
801.56,0.000398
803.32,0.000892
805.08,0.00096
806.84,0.000395
808.59,0.00075
810.35,0.0006
812.11,0.001421
813.87,0.000873
815.62,0.000414
817.38,0.000411
819.14,0.00135
820.9,0.001235
822.66,0.000763
824.41,0.001284
826.17,0.001475
827.93,0.00083
829.69,0.000935
831.45,0.000224
833.2,0.00057
834.96,0.000621
836.72,0.000543
